geo,racial group,topic,topic_type,filename,conj
National,Asian Alone,Limited English Proficiency,speak another language,LEP,that
National,NHPI Alone,Limited English Proficiency,speak another language,LEP,that
National,Black Alone,Limited English Proficiency,speak another language,LEP,that
National,Non-Hispanic White Alone,Limited English Proficiency,speak another language,LEP,that
National,Latino Alone,Limited English Proficiency,speak another language,LEP,that
National,AIAN Alone,Limited English Proficiency,speak another language,LEP,that
State,Asian Alone,Limited English Proficiency,speak another language,LEP,that
State,NHPI Alone,Limited English Proficiency,speak another language,LEP,that
State,Black Alone,Limited English Proficiency,speak another language,LEP,that
State,Non-Hispanic White Alone,Limited English Proficiency,speak another language,LEP,that
State,Latino Alone,Limited English Proficiency,speak another language,LEP,that
State,AIAN Alone,Limited English Proficiency,speak another language,LEP,that
County,Asian Alone,Limited English Proficiency,speak another language,LEP,that
County,NHPI Alone,Limited English Proficiency,speak another language,LEP,that
County,Black Alone,Limited English Proficiency,speak another language,LEP,that
County,Non-Hispanic White Alone,Limited English Proficiency,speak another language,LEP,that
County,Latino Alone,Limited English Proficiency,speak another language,LEP,that
County,AIAN Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,Asian Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,NHPI Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,Black Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,Non-Hispanic White Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,Latino Alone,Limited English Proficiency,speak another language,LEP,that
Congressional District,AIAN Alone,Limited English Proficiency,speak another language,LEP,that
National,Asian Alone,Education,Some College or AA,edu,with
National,NHPI Alone,Education,Some College or AA,edu,with
National,Black Alone,Education,Some College or AA,edu,with
National,Non-Hispanic White Alone,Education,Some College or AA,edu,with
National,Latino Alone,Education,Some College or AA,edu,with
National,AIAN Alone,Education,Some College or AA,edu,with
State,Asian Alone,Education,Some College or AA,edu,with
State,NHPI Alone,Education,Some College or AA,edu,with
State,Black Alone,Education,Some College or AA,edu,with
State,Non-Hispanic White Alone,Education,Some College or AA,edu,with
State,Latino Alone,Education,Some College or AA,edu,with
State,AIAN Alone,Education,Some College or AA,edu,with
County,Asian Alone,Education,Some College or AA,edu,with
County,NHPI Alone,Education,Some College or AA,edu,with
County,Black Alone,Education,Some College or AA,edu,with
County,Non-Hispanic White Alone,Education,Some College or AA,edu,with
County,Latino Alone,Education,Some College or AA,edu,with
County,AIAN Alone,Education,Some College or AA,edu,with
Congressional District,Asian Alone,Education,Some College or AA,edu,with
Congressional District,NHPI Alone,Education,Some College or AA,edu,with
Congressional District,Black Alone,Education,Some College or AA,edu,with
Congressional District,Non-Hispanic White Alone,Education,Some College or AA,edu,with
Congressional District,Latino Alone,Education,Some College or AA,edu,with
Congressional District,AIAN Alone,Education,Some College or AA,edu,with
National,Asian Alone,Poverty,Below Poverty,poverty,that live
National,NHPI Alone,Poverty,Below Poverty,poverty,that live
National,Black Alone,Poverty,Below Poverty,poverty,that live
National,Non-Hispanic White Alone,Poverty,Below Poverty,poverty,that live
National,Latino Alone,Poverty,Below Poverty,poverty,that live
National,AIAN Alone,Poverty,Below Poverty,poverty,that live
State,Asian Alone,Poverty,Below Poverty,poverty,that live
State,NHPI Alone,Poverty,Below Poverty,poverty,that live
State,Black Alone,Poverty,Below Poverty,poverty,that live
State,Non-Hispanic White Alone,Poverty,Below Poverty,poverty,that live
State,Latino Alone,Poverty,Below Poverty,poverty,that live
State,AIAN Alone,Poverty,Below Poverty,poverty,that live
County,Asian Alone,Poverty,Below Poverty,poverty,that live
County,NHPI Alone,Poverty,Below Poverty,poverty,that live
County,Black Alone,Poverty,Below Poverty,poverty,that live
County,Non-Hispanic White Alone,Poverty,Below Poverty,poverty,that live
County,Latino Alone,Poverty,Below Poverty,poverty,that live
County,AIAN Alone,Poverty,Below Poverty,poverty,that live
Congressional District,Asian Alone,Poverty,Below Poverty,poverty,that live
Congressional District,NHPI Alone,Poverty,Below Poverty,poverty,that live
Congressional District,Black Alone,Poverty,Below Poverty,poverty,that live
Congressional District,Non-Hispanic White Alone,Poverty,Below Poverty,poverty,that live
Congressional District,Latino Alone,Poverty,Below Poverty,poverty,that live
Congressional District,AIAN Alone,Poverty,Below Poverty,poverty,that live
National,Asian Alone,Health Insurance Coverage,No Insurance,insurance,
National,NHPI Alone,Health Insurance Coverage,No Insurance,insurance,with
National,Black Alone,Health Insurance Coverage,No Insurance,insurance,with
National,Non-Hispanic White Alone,Health Insurance Coverage,No Insurance,insurance,with
National,Latino Alone,Health Insurance Coverage,No Insurance,insurance,with
National,AIAN Alone,Health Insurance Coverage,No Insurance,insurance,with
State,Asian Alone,Health Insurance Coverage,No Insurance,insurance,with
State,NHPI Alone,Health Insurance Coverage,No Insurance,insurance,with
State,Black Alone,Health Insurance Coverage,No Insurance,insurance,with
State,Non-Hispanic White Alone,Health Insurance Coverage,No Insurance,insurance,with
State,Latino Alone,Health Insurance Coverage,No Insurance,insurance,with
State,AIAN Alone,Health Insurance Coverage,No Insurance,insurance,with
County,Asian Alone,Health Insurance Coverage,No Insurance,insurance,with
County,NHPI Alone,Health Insurance Coverage,No Insurance,insurance,with
County,Black Alone,Health Insurance Coverage,No Insurance,insurance,with
County,Non-Hispanic White Alone,Health Insurance Coverage,No Insurance,insurance,with
County,Latino Alone,Health Insurance Coverage,No Insurance,insurance,with
County,AIAN Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,Asian Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,NHPI Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,Black Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,Non-Hispanic White Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,Latino Alone,Health Insurance Coverage,No Insurance,insurance,with
Congressional District,AIAN Alone,Health Insurance Coverage,No Insurance,insurance,with
National,Asian Alone,Education,Less than HS,edu,with
